action_time,user_id,sku_id,type,sessionId,index
2018-03-01 00:00:06,273220,159865,1,42,1519862406.0
2018-03-01 00:00:11,136591,37315,2,83,1519862411.0
2018-03-01 00:00:12,144363,352849,1,93,1519862412.0
2018-03-01 00:00:18,279101,6089,1,129,1519862418.0
2018-03-01 00:00:19,133564,246120,1,137,1519862419.0
2018-03-01 00:00:26,279101,185387,1,129,1519862426.0
2018-03-01 00:00:28,63342,125390,1,168,1519862428.0
2018-03-01 00:00:32,205614,269552,1,186,1519862432.0
2018-03-01 00:00:37,279101,186333,1,129,1519862437.0
2018-03-01 00:00:40,70992,186086,1,226,1519862440.0
2018-03-01 00:00:43,63342,192437,1,168,1519862443.0
2018-03-01 00:00:47,273220,175703,1,42,1519862447.0
2018-03-01 00:00:50,269666,324569,1,281,1519862450.0
2018-03-01 00:00:52,267175,83032,2,286,1519862452.0
2018-03-01 00:00:57,269666,260175,1,281,1519862457.0
2018-03-01 00:01:18,269666,276490,1,281,1519862478.0
2018-03-01 00:01:21,267619,256065,1,382,1519862481.0
2018-03-01 00:01:23,114691,10826,1,388,1519862483.0
2018-03-01 00:01:26,197477,218875,1,400,1519862486.0
2018-03-01 00:01:28,267175,83032,1,286,1519862488.0
2018-03-01 00:01:32,267619,116585,1,382,1519862492.0
2018-03-01 00:01:40,163222,313000,1,435,1519862500.0
2018-03-01 00:01:40,178007,292343,1,441,1519862500.0
2018-03-01 00:01:42,204999,168363,1,443,1519862502.0
2018-03-01 00:01:49,133564,97857,1,137,1519862509.0
2018-03-01 00:01:55,63342,126926,1,168,1519862515.0
2018-03-01 00:02:06,205614,31469,1,186,1519862526.0
2018-03-01 00:02:11,204999,294706,1,443,1519862531.0
2018-03-01 00:02:14,53638,174111,1,535,1519862534.0
2018-03-01 00:02:24,225279,313475,1,562,1519862544.0
2018-03-01 00:02:27,75843,271968,1,574,1519862547.0
2018-03-01 00:02:28,225279,93072,1,562,1519862548.0
2018-03-01 00:02:31,269666,223388,1,281,1519862551.0
2018-03-01 00:02:40,204999,348096,1,443,1519862560.0
2018-03-01 00:02:46,269666,256143,1,281,1519862566.0
2018-03-01 00:02:46,75843,139604,1,574,1519862566.0
2018-03-01 00:02:58,144363,260517,1,93,1519862578.0
2018-03-01 00:03:03,179167,249470,2,651,1519862583.0
2018-03-01 00:03:08,204999,1292,1,443,1519862588.0
2018-03-01 00:03:10,79977,89999,1,669,1519862590.0
2018-03-01 00:03:14,79977,300843,1,669,1519862594.0
2018-03-01 00:03:20,164888,202493,1,688,1519862600.0
2018-03-01 00:03:26,199227,154678,1,704,1519862606.0
2018-03-01 00:03:31,144363,353012,1,93,1519862611.0
2018-03-01 00:03:46,29801,145751,1,739,1519862626.0
2018-03-01 00:03:51,204999,337357,1,443,1519862631.0
2018-03-01 00:03:54,205614,227652,1,186,1519862634.0
2018-03-01 00:04:03,245256,171715,1,693,1519862643.0
2018-03-01 00:04:14,232052,250176,1,652,1519862654.0
2018-03-01 00:04:16,112992,246183,1,800,1519862656.0
2018-03-01 00:04:18,204999,108816,1,443,1519862658.0
2018-03-01 00:04:20,7023,217024,1,814,1519862660.0
2018-03-01 00:04:34,102161,263801,1,842,1519862674.0
2018-03-01 00:04:45,204999,140491,1,443,1519862685.0
2018-03-01 00:04:49,3710,94769,1,868,1519862689.0
2018-03-01 00:04:50,79977,212414,1,669,1519862690.0
2018-03-01 00:04:50,29801,10710,1,739,1519862690.0
2018-03-01 00:04:54,199227,166383,1,704,1519862694.0
2018-03-01 00:04:57,102161,17926,1,842,1519862697.0
2018-03-01 00:05:11,199227,21307,1,704,1519862711.0
2018-03-01 00:05:22,225279,368761,1,562,1519862722.0
2018-03-01 00:05:24,199227,40217,1,704,1519862724.0
2018-03-01 00:05:25,102161,119641,1,842,1519862725.0
2018-03-01 00:05:32,205614,298319,1,186,1519862732.0
2018-03-01 00:05:37,102161,92834,1,842,1519862737.0
2018-03-01 00:05:38,267619,89502,1,382,1519862738.0
2018-03-01 00:05:48,70992,360925,1,226,1519862748.0
2018-03-01 00:05:58,102161,373788,1,842,1519862758.0
2018-03-01 00:06:00,225279,343451,1,562,1519862760.0
2018-03-01 00:06:00,104165,374306,1,994,1519862760.0
2018-03-01 00:06:04,204999,365158,1,443,1519862764.0
2018-03-01 00:06:05,245256,218655,1,693,1519862765.0
2018-03-01 00:06:07,102161,35566,1,842,1519862767.0
2018-03-01 00:06:08,133564,227938,1,137,1519862768.0
2018-03-01 00:06:12,225279,374721,1,562,1519862772.0
2018-03-01 00:06:14,79977,199645,1,669,1519862774.0
2018-03-01 00:06:21,225279,117445,1,562,1519862781.0
2018-03-01 00:06:27,204999,127684,1,443,1519862787.0
2018-03-01 00:06:28,164888,303272,1,688,1519862788.0
2018-03-01 00:06:38,225279,30023,1,562,1519862798.0
2018-03-01 00:06:43,164888,54122,1,688,1519862803.0
2018-03-01 00:06:45,29801,10710,2,739,1519862805.0
2018-03-01 00:06:53,232052,234394,1,652,1519862813.0
2018-03-01 00:06:54,164888,371550,1,688,1519862814.0
2018-03-01 00:06:59,144363,353387,1,93,1519862819.0
2018-03-01 00:07:01,267619,35735,1,382,1519862821.0
2018-03-01 00:07:08,197477,7158,1,400,1519862828.0
2018-03-01 00:07:28,205614,31469,2,186,1519862848.0
2018-03-01 00:07:32,151413,314913,1,1169,1519862852.0
2018-03-01 00:07:34,3710,319638,1,868,1519862854.0
2018-03-01 00:07:36,133564,109773,1,137,1519862856.0
2018-03-01 00:07:38,102161,82758,1,842,1519862858.0
2018-03-01 00:07:39,144363,314422,1,93,1519862859.0
2018-03-01 00:07:47,204999,21923,1,443,1519862867.0
2018-03-01 00:07:54,248777,271393,2,1202,1519862874.0
2018-03-01 00:07:57,79977,85065,1,669,1519862877.0
2018-03-01 00:08:24,102161,171377,1,842,1519862904.0
2018-03-01 00:08:26,102796,179587,1,1247,1519862906.0
2018-03-01 00:08:28,163222,162126,1,435,1519862908.0
2018-03-01 00:08:30,197477,51847,1,400,1519862910.0
2018-03-01 00:08:30,104165,358794,1,994,1519862910.0
2018-03-01 00:08:49,179167,253288,1,651,1519862929.0
2018-03-01 00:08:50,178007,292343,2,441,1519862930.0
2018-03-01 00:08:53,79977,277731,1,669,1519862933.0
2018-03-01 00:08:53,136591,37315,1,83,1519862933.0
2018-03-01 00:09:00,102796,179587,2,1247,1519862940.0
2018-03-01 00:09:02,269666,99288,1,281,1519862942.0
2018-03-01 00:09:04,144363,144011,1,93,1519862944.0
2018-03-01 00:09:13,124108,278498,1,1321,1519862953.0
2018-03-01 00:09:24,144363,188923,1,93,1519862964.0
2018-03-01 00:09:30,79977,303080,1,669,1519862970.0
2018-03-01 00:09:36,102161,187919,1,842,1519862976.0
2018-03-01 00:09:44,124108,68994,1,1321,1519862984.0
2018-03-01 00:09:44,112992,225506,1,800,1519862984.0
2018-03-01 00:09:46,102161,351247,1,842,1519862986.0
2018-03-01 00:09:58,184107,148300,1,1373,1519862998.0
2018-03-01 00:10:11,172609,191145,1,1392,1519863011.0
